,Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
12417,NAC,North America and the Caribbean,CUB,Cuba,2018,Female,Age80_84,[80-84],16,0.22880023,0.0,13.46529321
12418,NAC,North America and the Caribbean,CUB,Cuba,2018,Female,Age85_over,[85+],16,0.10469834,0.0,13.95515163
12419,NAC,North America and the Caribbean,CUB,Cuba,2017,Female,Age80_84,[80-84],21,0.29444756,0.0,18.42525488
12420,NAC,North America and the Caribbean,CUB,Cuba,2017,Female,Age85_over,[85+],16,0.10145847,0.0,14.22981146
12421,AS,Asia,CYP,Cyprus,2017,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12422,AS,Asia,CYP,Cyprus,2017,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12423,AS,Asia,CYP,Cyprus,2016,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12424,AS,Asia,CYP,Cyprus,2016,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12425,AS,Asia,CYP,Cyprus,2016,Female,Age85_over,[85+],0,0.0,0.0,0.0
12426,AS,Asia,CYP,Cyprus,2015,Female,Age85_over,[85+],0,0.0,0.0,0.0
12427,EU,Europe,CZE,Czechia,2017,Female,Age75_79,[75-79],11,0.16514037,0.0,5.30125592
12428,AS,Asia,TJK,Tajikistan,2003,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12429,AS,Asia,TJK,Tajikistan,2003,Female,Age85_over,[85+],0,0.0,0.0,0.0
12430,AS,Asia,TJK,Tajikistan,2004,Female,Age80_84,[80-84],0,0.0,0.0,0.0
12431,AS,Asia,TJK,Tajikistan,2005,Female,Age75_79,[75-79],0,0.0,0.0,0.0
12432,AS,Asia,TJK,Tajikistan,2005,Female,Age85_over,[85+],0,0.0,0.0,0.0
12433,AS,Asia,THA,Thailand,1971,Female,Age85_over,[85+],0,0.0,0.0,0.0
12434,AS,Asia,THA,Thailand,1972,Female,Age75_79,[75-79],1,0.01669449,0.0,0.75541824
12435,AS,Asia,THA,Thailand,1972,Female,Age85_over,[85+],1,0.01814224,0.0,2.00124077
12436,AS,Asia,THA,Thailand,1973,Female,Age75_79,[75-79],1,0.01683218,0.0,0.71035845
12437,AS,Asia,THA,Thailand,1976,Female,Age80_84,[80-84],1,0.01894657,0.0,1.23132996
12438,AS,Asia,THA,Thailand,1977,Female,Age80_84,[80-84],1,0.01793079,0.0,1.14682845
12439,AS,Asia,THA,Thailand,1978,Female,Age80_84,[80-84],3,0.05075283,0.0,3.2257024
